                 Bench,  Type,   N,    Mean,  Median,    Std,  #Outliers
              hash/md5,   lif,  16,   0.006,   0.006,    0.0,          0
              hash/md5,  meng,  16,      -1,      -1,     -1,         -1
          dudect/aes32,   lif,  16,    0.01,    0.01,    0.0,          1
          dudect/aes32,  meng,  16,      -1,      -1,     -1,         -1
       dudect/donnabad,   lif,  32,   0.026,   0.026,    0.0,          1
       dudect/donnabad,  meng,  32,      -1,      -1,     -1,         -1
           chronos/aes,   lif,  64,   0.017,   0.017,    0.0,          1
           chronos/aes,  meng,  64,   0.726,   0.725,  0.007,          0
           chronos/des,   lif,  64,   0.004,   0.004,    0.0,          0
           chronos/des,  meng,  64,   0.788,   0.787,  0.002,          1
          chronos/des3,   lif,  64,    0.01,    0.01,    0.0,          1
          chronos/des3,  meng,  64,   1.155,   1.155,  0.007,          0
        chronos/anubis,   lif,  64,    0.01,    0.01,    0.0,          0
        chronos/anubis,  meng,  64,   4.226,   4.222,  0.024,          0
         chronos/cast5,   lif,  64,   0.005,   0.005,    0.0,          1
         chronos/cast5,  meng,  64,   0.192,   0.192,  0.002,          0
         chronos/cast6,   lif,  16,   0.003,   0.003,    0.0,          1
         chronos/cast6,  meng,  16,   0.016,   0.016,    0.0,          1
        chronos/fcrypt,   lif,  64,   0.002,   0.002,    0.0,          3
        chronos/fcrypt,  meng,  64,   0.053,   0.053,    0.0,          0
        chronos/khazad,   lif,  64,   0.002,   0.002,    0.0,          0
        chronos/khazad,  meng,  64,   0.301,   0.301,  0.002,          1
         felics/lblock,   lif,  64,   0.007,   0.007,    0.0,          2
         felics/lblock,  meng,  64,    0.35,   0.349,  0.012,          0
        felics/piccolo,   lif,  64,   0.002,   0.002,    0.0,          0
        felics/piccolo,  meng,  64,   0.008,   0.008,  0.001,          0
        felics/present,   lif,  64,   0.006,   0.006,    0.0,          0
        felics/present,  meng,  64,   1.385,   1.386,  0.049,          0
          felics/twine,   lif,  64,    0.02,    0.02,    0.0,          0
          felics/twine,  meng,  64,   5.294,   5.327,  0.201,          0
          supercop/aes,   lif,  64,   0.007,   0.007,    0.0,          1
          supercop/aes,  meng,  64,   0.189,    0.19,  0.003,          0
         supercop/cast,   lif,  64,   0.011,   0.011,    0.0,          0
         supercop/cast,  meng,  64,   0.999,     1.0,  0.005,          1
   applied-crypto/3way,   lif,   3,   0.019,   0.019,    0.0,          1
   applied-crypto/3way,  meng,   3,   0.064,   0.064,  0.002,          0
    applied-crypto/des,   lif,   8,   6.944,   6.927,  0.072,          2
    applied-crypto/des,  meng,   8,  12.068,  12.087,  0.335,          0
 applied-crypto/loki91,   lif,  24,   0.004,   0.004,    0.0,          0
 applied-crypto/loki91,  meng,  24,   0.007,   0.007,    0.0,          1
    libgcrypt/camellia,   lif,  50,   0.002,   0.002,    0.0,          0
    libgcrypt/camellia,  meng,  50,   0.042,   0.041,  0.001,          0
         libgcrypt/des,   lif,  64,   0.004,   0.004,    0.0,          1
         libgcrypt/des,  meng,  64,    0.19,   0.191,  0.004,          1
        libgcrypt/seed,   lif,  16,   0.011,   0.011,    0.0,          0
        libgcrypt/seed,  meng,  16,   0.594,   0.594,  0.005,          0
     libgcrypt/twofish,   lif,  16,   0.069,   0.069,    0.0,          1
     libgcrypt/twofish,  meng,  16,  27.719,  27.709,  0.264,          0
